ID,PROJECT,FILE,START,END,LOC,LOCNAMM,WMC,WMCNAMM,NOM,NOMNAMM,NOA,AMW,AMWNAMM,NOAM,WOC,is_god_class
C-000280,JsPaint,lib/pdf.js/web/viewer.js,14581,14603,23,23,4,4,4,4,1,1.0,1.0,0,0.8,0
C-000282,JsPaint,lib/tracky-mouse/tracky-mouse.js,322,446,125,125,15,15,7,7,6,2.142857142857143,2.142857142857143,0,0.5384615384615384,0
C-000283,JsPaint,src/OnCanvasHelperLayer.js,1,13,13,13,1,1,1,1,1,1.0,1.0,0,0.5,0
C-000284,JsPaint,src/OnCanvasObject.js,2,44,43,43,7,7,4,4,6,1.75,1.75,0,0.4,0
C-000285,JsPaint,src/OnCanvasSelection.js,2,294,293,293,22,22,11,11,0,2.0,2.0,0,1.0,1
C-000286,JsPaint,src/OnCanvasTextBox.js,2,286,285,285,11,11,5,5,10,2.2,2.2,0,0.3333333333333333,0
C-000288,JsPaint,src/sessions.js,197,490,294,294,5,5,3,3,2,1.6666666666666667,1.6666666666666667,0,0.6,1
C-000291,Xeokit-SDK,examples/libs/PickRayHelper.js,6,49,44,44,5,5,2,2,1,2.5,2.5,0,0.6666666666666666,0
C-000296,Xeokit-SDK,src/plugins/AngleMeasurementsPlugin/AngleMeasurement.js,16,656,641,504,85,41,30,4,43,2.833333333333333,10.25,26,0.0547945205479452,1
C-000300,Xeokit-SDK,src/plugins/AnnotationsPlugin/AnnotationsPlugin.js,373,581,209,200,29,25,9,7,6,3.2222222222222223,3.571428571428572,2,0.4666666666666667,0
C-000302,Xeokit-SDK,src/plugins/BCFViewpointsPlugin/BCFViewpointsPlugin.js,310,925,616,616,62,62,6,6,2,10.333333333333334,10.333333333333334,0,0.75,1
C-000303,Xeokit-SDK,src/plugins/CityJSONLoaderPlugin/CityJSONDefaultDataSource.js,6,27,22,22,2,2,2,2,0,1.0,1.0,0,1.0,0
C-000304,Xeokit-SDK,src/plugins/CityJSONLoaderPlugin/CityJSONLoaderPlugin.js,114,749,636,630,103,100,16,14,1,6.4375,7.142857142857143,2,0.8235294117647058,1
C-000308,Xeokit-SDK,src/plugins/FaceAlignedSectionPlanesPlugin/FaceAlignedSectionPlanesControl.js,20,639,620,617,28,27,14,13,12,2.0,2.076923076923077,1,0.5,1
C-000310,Xeokit-SDK,src/plugins/FaceAlignedSectionPlanesPlugin/Overview.js,16,246,231,231,19,19,11,11,15,1.7272727272727273,1.7272727272727273,0,0.4230769230769231,0
C-000323,Xeokit-SDK,src/plugins/OBJLoaderPlugin/OBJLoaderPlugin.js,64,143,80,80,7,7,3,3,1,2.333333333333333,2.333333333333333,0,0.75,0
C-000337,Xeokit-SDK,src/plugins/TreeViewPlugin/TreeViewPlugin.js,346,1420,1075,1060,173,166,38,36,23,4.552631578947368,4.611111111111111,2,0.5901639344262295,1
C-000341,Xeokit-SDK,src/plugins/XKTLoaderPlugin/XKTDefaultDataSource.js,6,75,70,70,8,8,3,3,0,2.6666666666666665,2.6666666666666665,0,1.0,0
C-000342,Xeokit-SDK,src/plugins/XKTLoaderPlugin/XKTLoaderPlugin.js,434,971,538,487,55,36,22,5,8,2.5,7.2,17,0.1666666666666666,1
C-000351,Xeokit-SDK,src/viewer/metadata/PropertySet.js,12,75,64,64,3,3,1,1,6,3.0,3.0,0,0.1428571428571428,0
C-000355,Xeokit-SDK,src/viewer/scene/camera/CameraFlightAnimation.js,103,667,565,537,110,99,20,11,21,5.5,9.0,9,0.2682926829268293,1
C-000356,Xeokit-SDK,src/viewer/scene/camera/CameraPath.js,12,192,181,166,23,18,13,8,4,1.7692307692307692,2.25,5,0.4705882352941176,0
C-000361,Xeokit-SDK,src/viewer/scene/CameraControl/CameraControl.js,479,1714,1236,954,124,18,67,6,47,1.8507462686567164,3.0,61,0.0526315789473684,1
