ID,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,IS_LONG_METHOD
M-016518,37,3,2,1,1,1,1,0.0,0
M-016532,18,4,1,2,2,1,1,0.0,0
M-016545,103,27,3,5,5,1,1,0.0,1
M-016549,149,14,7,5,5,1,1,0.0,1
M-016566,32,4,2,1,1,1,1,0.0,0
M-016572,83,27,3,4,4,2,1,0.0,1
M-016577,78,18,2,1,1,1,1,0.0,1
M-016579,100,35,4,6,6,0,1,0.0,1
M-016593,112,21,5,3,3,6,1,0.0,1
M-016605,5,1,0,0,0,0,1,0.0,0
M-016613,24,4,1,2,2,0,3,3.0,0
M-016616,10,2,1,0,0,1,1,0.0,0
M-016628,10,2,1,1,1,1,1,0.0,0
M-016637,5,1,2,0,0,2,1,0.0,0
M-016674,8,3,1,0,0,0,1,0.0,0
