ID,PROJECT,FILE,START,END,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,is_long_method
M-009761,PlayCanvas,src/framework/components/animation/component.js,142,173,32,7,5,2,2,1,1,0.0,0
M-009802,PlayCanvas,src/framework/components/audio-source/component.js,119,157,39,13,6,2,2,3,1,0.0,1
M-009943,PlayCanvas,src/framework/components/camera/component.js,678,695,18,4,2,1,1,1,1,0.0,0
M-009999,PlayCanvas,src/framework/components/collision/component.js,251,283,33,9,2,1,1,3,1,0.0,0
M-010063,PlayCanvas,src/framework/components/collision/trigger.js,131,145,15,3,1,3,3,0,1,0.0,0
M-010283,PlayCanvas,src/framework/components/element/system.js,91,272,182,75,3,3,3,3,1,0.0,1
M-010305,PlayCanvas,src/framework/components/element/text-element.js,323,716,394,58,7,7,7,1,1,0.0,1
M-010316,PlayCanvas,src/framework/components/element/text-element.js,827,1372,546,69,10,12,12,0,1,0.0,1
M-010581,PlayCanvas,src/framework/components/model/component.js,1095,1099,5,2,1,0,0,4,1,0.0,0
M-010752,PlayCanvas,src/framework/components/rigid-body/component.js,490,541,52,10,2,1,1,0,1,0.0,1
M-010854,PlayCanvas,src/framework/components/script/component.js,529,558,30,10,4,0,0,6,1,0.0,0
M-010855,PlayCanvas,src/framework/components/script/component.js,571,582,12,4,1,4,4,1,1,0.0,0
M-010863,PlayCanvas,src/framework/components/script/system.js,32,65,34,1,0,0,0,1,1,0.0,0
M-011096,PlayCanvas,src/framework/components/sprite/component.js,244,249,6,2,1,0,0,1,1,0.0,0
M-011129,PlayCanvas,src/framework/components/sprite/component.js,643,755,113,17,2,1,1,1,1,0.0,1
M-011216,PlayCanvas,src/framework/entity.js,509,530,22,4,2,0,0,0,1,0.0,0
M-011239,PlayCanvas,src/framework/graphics/picker.js,239,321,83,17,8,4,4,3,1,0.0,1
M-011257,PlayCanvas,src/framework/handlers/audio.js,74,78,5,1,0,1,1,1,1,0.0,0
M-011300,PlayCanvas,src/framework/handlers/cubemap.js,93,218,126,32,6,6,6,3,1,0.0,1
M-011357,PlayCanvas,src/framework/handlers/material.js,238,351,114,19,5,5,5,2,1,0.0,1
